id,nome,latitude,longitude
125,Ivolândia,-16.6019444444,-50.7938888889
126,Jandaia,-17.0486111111,-50.1461111111
127,Jaraguá,-15.7569444444,-49.3344444444
128,Jataí,-17.8813888889,-51.7144444444
129,Jaupaci,-16.1780555556,-50.9530555556
130,Jesúpolis,-15.9513888889,-49.3738888889
131,Joviânia,-17.8058333333,-49.6127777778
132,Jussara,-15.8650000000,-50.8680555556
133,Lagoa Santa,-19.1816666667,-51.3980555556
134,Leopoldo de Bulhões,-16.6191666667,-48.7436111111
135,Luziânia,-16.2525000000,-47.9502777778
136,Mairipotaba,-17.2991666667,-49.4913888889
137,Mambaí,-14.4877777778,-46.1130555556
138,Mara Rosa,-14.0163888889,-49.1772222222
139,Marzagão,-17.9813888889,-48.6402777778
140,Matrinchã,-15.4436111111,-50.7461111111
141,Maurilândia,-17.9708333333,-50.3386111111
142,Mimoso de Goiás,-15.0561111111,-48.1613888889
143,Minaçu,-13.5330555556,-48.2200000000
144,Mineiros,-17.5694444444,-52.5511111111
145,Moiporá,-16.5461111111,-50.7391666667
146,Monte Alegre de Goiás,-13.2563888889,-46.9005555556
147,Montes Claros de Goiás,-16.0077777778,-51.3966666667
148,Montividiu,-17.4441666667,-51.1747222222
149,Montividiu do Norte,-13.1125000000,-48.6072222222
150,Morrinhos,-17.7311111111,-49.0994444444
151,Morro Agudo de Goiás,-15.3208333333,-50.0566666667
152,Mossâmedes,-16.1266666667,-50.2150000000
153,Mozarlândia,-14.7447222222,-50.5705555556
154,Mundo Novo,-13.7761111111,-50.2811111111
155,Mutunópolis,-13.7325000000,-49.2750000000
156,Nazário,-16.5816666667,-49.8816666667
157,Nerópolis,-16.4063888889,-49.2186111111
158,Niquelândia,-14.4738888889,-48.4597222222
159,Nova América,-15.0216666667,-49.8958333333
160,Nova Aurora,-18.0575000000,-48.2536111111
161,Nova Crixás,-14.0986111111,-50.3266666667
162,Nova Glória,-15.1430555556,-49.5711111111
163,Nova Iguaçu de Goiás,-14.2877777778,-49.3875000000
164,Nova Roma,-13.7419444444,-46.8802777778
165,Nova Veneza,-16.3708333333,-49.3230555556
166,Novo Brasil,-16.0341666667,-50.7111111111
167,Novo Gama,-16.0591666667,-48.0394444444
168,Novo Planalto,-13.2444444444,-49.5038888889
169,Orizona,-17.0313888889,-48.2958333333
170,Ouro Verde de Goiás,-16.2202777778,-49.1933333333
171,Ouvidor,-18.2336111111,-47.8388888889
172,Padre Bernardo,-15.1602777778,-48.2838888889
173,Palestina de Goiás,-16.7333333333,-51.5325000000
174,Palmeiras de Goiás,-16.8050000000,-49.9258333333
175,Palmelo,-17.3244444444,-48.4233333333
176,Palminópolis,-16.7961111111,-50.1647222222
177,Panamá,-18.1766666667,-49.3541666667
178,Paranaiguara,-18.9158333333,-50.6538888889
179,Paraúna,-16.9477777778,-50.4486111111
180,Perolândia,-17.5286111111,-52.0641666667
181,Petrolina de Goiás,-16.0950000000,-49.3380555556
182,Pilar de Goiás,-14.7638888889,-49.5783333333
183,Piracanjuba,-17.3027777778,-49.0166666667
184,Piranhas,-16.4269444444,-51.8222222222
185,Pirenópolis,-15.8525000000,-48.9591666667
186,Pires do Rio,-17.2997222222,-48.2794444444
187,Planaltina,-15.4527777778,-47.6141666667
188,Pontalina,-17.5250000000,-49.4472222222
189,Porangatu,-13.4408333333,-49.1486111111
190,Porteirão,-17.8152777778,-50.1636111111
191,Portelândia,-17.3536111111,-52.6786111111
192,Posse,-14.0930555556,-46.3694444444
193,Professor Jamil,-17.2486111111,-49.2416666667
194,Quirinópolis,-18.4483333333,-50.4516666667
195,Rialma,-15.3150000000,-49.5844444444
196,Rianápolis,-15.4469444444,-49.5100000000
197,Rio Quente,-17.7741666667,-48.7725000000
198,Rio Verde,-17.7980555556,-50.9280555556
199,Rubiataba,-15.1644444444,-49.8033333333
200,Sanclerlândia,-16.1975000000,-50.3144444444
201,Santa Bárbara de Goiás,-16.5738888889,-49.6944444444
202,Santa Cruz de Goiás,-17.3158333333,-48.4816666667
203,Santa Fé de Goiás,-15.7691666667,-51.1055555556
204,Santa Helena de Goiás,-17.8136111111,-50.5969444444
205,Santa Isabel,-15.2980555556,-49.4266666667
206,Santa Rita do Araguaia,-17.3255555556,-53.2052777778
207,Santa Rita do Novo Destino,-15.1352777778,-49.1202777778
208,Santa Rosa de Goiás,-16.0850000000,-49.4936111111
209,Santa Tereza de Goiás,-13.7144444444,-49.0150000000
210,Santa Terezinha de Goiás,-14.4380555556,-49.7061111111
211,Santo Antônio da Barra,-17.5613888889,-50.6341666667
212,Santo Antônio de Goiás,-16.4836111111,-49.3111111111
213,Santo Antônio do Descoberto,-15.9397222222,-48.2550000000
214,São Domingos,-13.3983333333,-46.3183333333
215,São Francisco de Goiás,-15.9305555556,-49.2611111111
216,São João D'Aliança,-14.7055555556,-47.5247222222
217,São João da Paraúna,-16.8147222222,-50.4100000000
218,São Luís de Montes Belos,-16.5250000000,-50.3722222222
219,São Luiz do Norte,-14.8625000000,-49.3294444444
220,São Miguel do Araguaia,-13.2750000000,-50.1627777778
221,São Miguel do Passa Quatro,-17.0586111111,-48.6627777778
222,São Patrício,-15.3502777778,-49.8177777778
223,São Simão,-18.9911111111,-50.5436111111
224,Senador Canedo,-16.7080555556,-49.0930555556
225,Serranópolis,-18.3061111111,-51.9622222222
226,Silvânia,-16.6588888889,-48.6080555556
227,Simolândia,-14.4736111111,-46.4833333333
228,Sítio D'Abadia,-14.8052777778,-46.2530555556
229,Taquaral de Goiás,-16.0541666667,-49.6058333333
230,Teresina de Goiás,-13.7763888889,-47.2647222222
231,Terezópolis de Goiás,-16.3947222222,-49.0797222222
232,Três Ranchos,-18.3538888889,-47.7825000000
233,Trindade,-16.6494444444,-49.4888888889
234,Trombas,-13.5086111111,-48.7400000000
235,Turvânia,-16.6144444444,-50.1341666667
236,Turvelândia,-17.8527777778,-50.3022222222
237,Uirapuru,-14.2850000000,-49.9216666667
238,Uruaçu,-14.5247222222,-49.1408333333
239,Uruana,-15.4980555556,-49.6875000000
240,Urutaí,-17.4636111111,-48.2016666667
241,Valparaíso de Goiás,-16.0658333333,-47.9786111111
242,Varjão,-17.0452777778,-49.6311111111
243,Vianópolis,-16.7419444444,-48.5163888889
244,Vicentinópolis,-17.7350000000,-49.8050000000
245,Vila Boa,-15.0383333333,-47.0594444444
246,Vila Propício,-15.4569444444,-48.8886111111
